題號,模式,範圍,題目,選擇題,答案,官方解釋,教師解釋
B11,基礎模式,科目一（01）AI 基礎概念與發展,AI 在製造業中的主要用途為何？,（A）產品設計靈感；（B）自動化生產與品質檢測；（C）娛樂內容生成；（D）影像濾鏡,B｜自動化生產與品質檢測,AI 在製造業中可應用於智慧製造、自動化生產、機器視覺品質檢測、設備預測維護與生產流程最佳化，以提升生產效率、降低人工作業錯誤並維持產品品質。,製造業最常見的 AI 應用，可以想成「機器幫忙做、AI 幫忙看」。例如生產線上的設備可以自動完成組裝，攝影機再搭配 AI 檢查產品有沒有刮痕、尺寸錯誤或瑕疵，比人工一個一個看更快。所以答案是「自動化生產與品質檢測」。
B12,基礎模式,科目一（01）AI 基礎概念與發展,智慧教學系統的主要功能為何？,（A）自動生成課程內容；（B）依學生需求提供個人化學習；（C）監控學校財務；（D）設計教室硬體,B｜依學生需求提供個人化學習,"智慧教學系統（Intelligent Tutoring System, ITS）運用人工智慧分析學生的學習進度、能力、作答表現與學習需求，進而提供個人化的教材、練習、回饋與學習路徑，以提升學習成效。",智慧教學不是「所有學生都上同一套內容」，而是 AI 先看每個學生哪裡會、哪裡不會，再調整適合他的學習內容。例如學生數學乘法很熟，但分數一直答錯，系統就不用一直叫他練乘法，而是多給他分數的教學和題目。所以核心就是「因材施教」，答案是「依學生需求提供個人化學習」。
B13,基礎模式,科目一（01）AI 基礎概念與發展,零售業中 AI 的應用不包括下列哪一項？,（A）需求預測；（B）庫存管理；（C）天氣操控；（D）顧客行為分析,C｜天氣操控,AI 在零售業中常用於需求預測、庫存管理、顧客行為分析、商品推薦與動態定價等，透過分析銷售與消費資料協助企業提升營運效率。「天氣操控」並非零售業的 AI 應用。,零售業用 AI，簡單講就是幫店家回答三件事：「客人想買什麼？要準備多少貨？客人可能怎麼買？」例如 AI 可以預測夏天飲料會賣比較多、提醒哪些商品快缺貨，也可以分析顧客的購買習慣。但 AI 頂多把「天氣」當成預測銷量的資料，它不能控制天氣，所以答案是「天氣操控」。
B14,基礎模式,科目一（01）AI 基礎概念與發展,下列何者是 AI 在農業的應用？,（A）作物健康監測；（B）天氣操控；（C）火山預測；（D）海洋潮汐測量,A｜作物健康監測,AI 在智慧農業中的應用包含作物健康監測、病蟲害辨識、生長狀況分析、產量預測與精準農業等。透過無人機、攝影機或感測器蒐集農田資料，再利用 AI 分析作物的生長與健康狀態，可協助農民及早發現異常問題。,AI 用在農業，可以把它想成「幫農夫巡田」。以前可能要人一株一株去看作物有沒有生病，現在可以利用無人機或攝影機拍攝農田，再讓 AI 判斷哪些葉子變黃、哪裡可能有病蟲害或生長異常，讓農民提早處理。所以答案是「作物健康監測」。
B15,基礎模式,科目一（01）AI 基礎概念與發展,DALL·E 主要用於生成下列哪一類內容？,（A）圖片；（B）音樂；（C）文字；（D）影片,A｜圖片,DALL·E 是由 OpenAI 開發的生成式人工智慧模型，主要功能是根據文字描述自動生成對應的圖片內容，屬於文字生成圖片（Text-to-Image）的應用。,DALL·E 你可以把它想成「會聽指令來畫圖的 AI」。例如你輸入「一隻穿西裝的貓在辦公室開會」，它就會根據這段文字產生圖片。它主要不是拿來寫文章、作曲或製作影片，而是專門做圖片生成，所以答案是「圖片」。
B16,基礎模式,科目一（01）AI 基礎概念與發展,下列何者屬於文本生成應用？,（A）自動摘要；（B）圖片壓縮；（C）語音降噪；（D）網頁快取,A｜自動摘要,文本生成是生成式人工智慧在自然語言處理中的應用，可依據輸入內容產生新的文字，例如文章生成、問答、翻譯與自動摘要等。自動摘要會分析原始文本的重要資訊，再產生較精簡的文字內容，因此屬於文本生成應用。,"自動摘要就是「文章太長，AI 幫你抓重點再重新寫短一點」。例如一篇 3,000 字的新聞或報告，AI 看完後幫你整理成 300 字重點，產出的結果仍然是文字，所以屬於文本生成。其他像圖片壓縮、語音降噪、網頁快取都不是在產生文字，因此答案是「自動摘要」。"
B17,基礎模式,科目一（01）AI 基礎概念與發展,零樣本學習（Zero-shot Learning）的主要特點為何？,（A）不需額外訓練特定任務；（B）需要大量標註資料；（C）必須人工干預；（D）只能處理圖片,A｜不需額外訓練特定任務,"零樣本學習（Zero-shot Learning, ZSL）是指模型在沒有針對特定新任務或新類別額外提供專門訓練資料的情況下，仍能利用既有知識、語意描述或指令來完成判斷與推理。因此其主要特點是不需為每一個新任務重新進行專門訓練。",零樣本學習可以想成「沒特別教過這一題，AI 還是能靠以前學過的知識回答」。例如你沒有另外訓練 AI 做「判斷這段留言是稱讚還是抱怨」，但只要直接告訴它任務，它就能根據原本學到的語言能力去判斷。也就是不用為每個新任務都重新準備一大堆資料再訓練，所以答案是「不需額外訓練特定任務」。
B18,基礎模式,科目一（01）AI 基礎概念與發展,下列哪一項最符合『鑑別式 AI』的典型任務？,（A）判斷郵件是否為垃圾信；（B）產生一首新歌曲；（C）依提示生成圖片；（D）自動續寫小說段落,A｜判斷郵件是否為垃圾信,鑑別式 AI（Discriminative AI）主要學習不同類別之間的判斷邊界，根據輸入資料進行分類或預測，例如垃圾郵件辨識、影像分類與疾病判斷等。相較之下，生成式 AI 則著重於產生新的文字、圖片、音樂或其他內容。,鑑別式 AI 可以想成「AI 當裁判」，它的工作不是創作東西，而是看完資料後幫你判斷「是哪一類」。例如收到一封 Email，它判斷這是「正常郵件」還是「垃圾郵件」，就是典型的分類工作。其他三個選項都是叫 AI 創作新的音樂、圖片或文字，屬於生成式 AI，所以答案是「判斷郵件是否為垃圾信」。
B19,基礎模式,科目一（01）AI 基礎概念與發展,弱人工智慧（Narrow AI）的典型特徵是什麼？,（A）具備人類所有通用智能；（B）已擁有自我意識；（C）專注於特定任務或領域；（D）可在任何未知情境自動達成目標,C｜專注於特定任務或領域,"弱人工智慧（Narrow AI），亦稱狹義人工智慧（Artificial Narrow Intelligence, ANI），是針對特定任務或特定領域所設計的人工智慧，其能力通常侷限於訓練與應用的範圍，不具備人類完整的通用智能、自我意識或任意跨領域處理問題的能力。",Narrow AI 就是「專才型 AI」，不是什麼都會，而是把某一件事情做到很好。例如下圍棋的 AI 可以強到打敗頂尖棋士，但不代表它也會幫你看病、做財務分析或規劃旅遊。所以判斷弱人工智慧時，抓住一個重點就好：專注特定任務或領域，答案是 C。
B20,基礎模式,科目一（01）AI 基礎概念與發展,可解釋 AI（XAI）最主要想解決哪一個問題？,（A）讓模型完全不需要資料；（B）讓模型輸出速度必然加倍；（C）讓所有模型都變成開源；（D）讓人理解模型判斷依據與影響因素,D｜讓人理解模型判斷依據與影響因素,"可解釋人工智慧（Explainable AI, XAI）是指讓人工智慧模型的決策過程、判斷依據與影響因素能被人類理解與說明的技術與方法，目的在提升模型的透明度、可信任性與可追溯性。",XAI 可以想成「AI 不只要告訴你答案，還要告訴你為什麼」。例如 AI 判斷某位客戶不適合貸款，如果只丟一句「不核准」，人可能不知道原因；XAI 則希望進一步說明，是收入、負債、信用紀錄還是其他因素影響了結果。所以答案是「讓人理解模型判斷依據與影響因素」。
B21,基礎模式,科目一（01）AI 基礎概念與發展,政府在使用生成式 AI 提供服務時，應優先做到哪項揭露？,（A）不需任何揭露；（B）揭露 AI 所屬供應商；（C）揭露使用 AI 作為輔助工具；（D）僅在有人詢問時揭露,C｜揭露使用 AI 作為輔助工具,政府機關使用生成式 AI 提供公共服務時，應重視透明性與資訊揭露，清楚告知民眾該服務有使用 AI 作為輔助工具，讓使用者了解服務內容可能經由人工智慧協助產生、分析或處理。,政府用 AI 跟一般公司不太一樣，因為牽涉公共服務與民眾權益，所以最重要的是「不能偷偷用」。例如民眾看到一份由 AI 協助產生的回覆，政府應該讓他知道這個服務有使用 AI，而不是讓民眾以為全部都是人工處理。所以答案是「揭露使用 AI 作為輔助工具」。
B22,基礎模式,科目一（01）AI 基礎概念與發展,金融業使用 AI 提供消費者服務，應優先遵守下列何項原則？,（A）效率最大化；（B）成本最小化；（C）揭露與消費者保護；（D）技術創新優先,C｜揭露與消費者保護,金融業運用 AI 提供消費者服務時，除提升效率外，亦應重視資訊透明、公平性、個人資料保護與消費者權益，並適當揭露 AI 的使用情形及其可能影響，避免因自動化決策造成消費者不公平待遇或權益受損。,金融業不能只想「AI 可以幫我省多少錢、做多快」，因為它處理的是民眾的錢、信用與貸款等重要權益。例如 AI 判斷某人不能貸款，銀行不能只回一句「系統說不行」，而應重視是否公平、資訊是否透明，以及消費者的權益有沒有受到保障。所以這題的重點是「先保護人，再談效率」，答案是「揭露與消費者保護」。
B23,基礎模式,科目一（01）AI 基礎概念與發展,人工智慧（AI）的主要目標為何？,（A）提升硬體速度；（B）讓機器執行需人類智慧的任務；（C）完全取代人類；（D）只做數據儲存,B｜讓機器執行需人類智慧的任務,"人工智慧（Artificial Intelligence, AI）的主要目標，是讓機器具備感知、學習、推理、判斷、理解語言與解決問題等能力，使其能執行原本需要人類智慧才能完成的任務。",AI 的重點不是讓電腦跑得更快，而是讓它「會做以前需要人來動腦的事情」。例如看照片判斷物體、聽懂人說話、回答問題、分析資料後做判斷，這些原本都需要人的智慧。因此答案是「讓機器執行需人類智慧的任務」。
B24,基礎模式,科目一（01）AI 基礎概念與發展,在 Prompt 設計中，加入上下文（context）的作用為何？,（A）增加運算成本；（B）引導模型產生與上下文一致的回應；（C）縮短回答；（D）減少訓練資料,B｜引導模型產生與上下文一致的回應,在提示詞設計（Prompt Design）中，上下文（Context）是提供模型理解任務背景、情境、角色、限制條件或相關資訊的重要內容，可協助模型依據這些資訊產生更符合需求且前後一致的回應。,上下文可以想成「先把背景交代清楚」。例如你只跟 AI 說「幫我寫一段文案」，它不知道要寫給誰、什麼場合、什麼風格；但如果你補充「這是給高中生看的運動營招生文案，語氣要活潑」，AI 就比較知道該怎麼寫。所以加入上下文，就是在引導模型產生和情境一致的回答，答案是 B。
B25,基礎模式,科目一（01）AI 基礎概念與發展,在企業導入 AI 時，首要步驟常為何？,（A）直接買最貴的模型；（B）定義商業目標與成功指標（KPI）；（C）僅關注技術選型；（D）忽略資料,B｜定義商業目標與成功指標（KPI）,"企業導入 AI 時，應先明確定義欲解決的商業問題、預期達成的目標，以及可衡量成果的關鍵績效指標（Key Performance Indicator, KPI），再依據需求評估資料、模型、技術與導入方式，以確保 AI 專案能產生實際商業價值。",企業導入 AI，不是先問「我要買哪一套最厲害的 AI」，而是先問「我到底想解決什麼問題？」例如店家想導入 AI，目標可能是把缺貨率降低 20%，或讓客服平均處理時間縮短 30%。這些可以衡量成果的數字就是 KPI。目標先講清楚，後面才知道 AI 有沒有真的幫上忙，所以答案是「定義商業目標與成功指標（KPI）」。
B26,基礎模式,科目一（01）AI 基礎概念與發展,如果專案目標是讓AI從影片中識別出行人與車輛，應該採用哪一種AI技術？,（A）自然語言處理；（B）電腦視覺；（C）語音辨識；（D）推薦系統,B｜電腦視覺,電腦視覺（Computer Vision）是讓電腦能從影像或影片中擷取、辨識與理解視覺資訊的人工智慧技術，常見任務包含影像分類、物件偵測、影像分割與目標追蹤等。若要從影片中辨識行人與車輛，屬於典型的電腦視覺應用。,只要題目是在問「讓 AI 看懂圖片或影片裡有什麼」，就要想到電腦視覺。像監視器畫面裡要找出哪裡是行人、哪裡是汽車，AI 就是在「看畫面、認物體」。這不是在處理文字、聲音，也不是推薦商品，所以答案是「電腦視覺」。
B27,基礎模式,科目一（01）AI 基礎概念與發展,關於可解釋性 AI（XAI），其主要目標為何？,（A）讓AI模型的運算速度更快；（B）讓人類能夠理解AI做出決策的原因與過程；（C）讓AI模型變得更小；（D）讓AI模型變得更準確,B｜讓人類能夠理解AI做出決策的原因與過程,"可解釋人工智慧（Explainable AI, XAI）的主要目標，是讓人工智慧模型的決策依據、推理過程與影響結果的重要因素能被人類理解，以提升模型的透明度、可信任性與可追溯性。",XAI 可以想成「AI 不能只給答案，還要說明為什麼」。例如 AI 判斷某位病人有較高疾病風險，不能只丟出「高風險」三個字，而是最好能告訴醫師，是哪些檢查數值或特徵影響了這個判斷。重點就是讓人看得懂 AI 為什麼會做出這個決定，所以答案是「讓人類能夠理解 AI 做出決策的原因與過程」。
B28,基礎模式,科目一（01）AI 基礎概念與發展,被稱為「人工智慧之父」，並於 1956 年達特茅斯會議上首次提出「人工智慧」一詞的是誰？,（A）艾倫·圖靈（Alan Turing）；（B）約翰·麥卡錫（John McCarthy）；（C）傑夫·辛頓（Geoffrey Hinton）；（D）馬文·明斯基（Marvin Minsky）,B｜約翰·麥卡錫（John McCarthy）,約翰·麥卡錫（John McCarthy）被廣泛稱為「人工智慧之父」之一，並在 1956 年達特茅斯會議（Dartmouth Conference）相關研究計畫中提出「Artificial Intelligence」一詞，促使人工智慧逐漸成為一個獨立的研究領域。,這題可以直接把「1956 年達特茅斯會議」和「John McCarthy」綁在一起記。圖靈很重要，但他比較常和「圖靈測試」連在一起；Hinton 則和深度學習發展關係密切。至於 McCarthy，就是提出「Artificial Intelligence」這個名稱的重要人物，所以答案是「約翰·麥卡錫」。
B29,基礎模式,科目一（01）AI 基礎概念與發展,下列何者是弱人工智慧（Narrow AI）的典型例子？,（A）擁有自我意識的機器人；（B）能自主學習與進化的通用AI；（C）專門用於語音助理或推薦系統的AI；（D）能夠理解所有人類情感的AI,C｜專門用於語音助理或推薦系統的AI,"弱人工智慧（Narrow AI），亦稱狹義人工智慧（Artificial Narrow Intelligence, ANI），是針對特定任務或特定領域所設計的人工智慧系統，例如語音助理、推薦系統、影像辨識與垃圾郵件分類等，其能力通常侷限於特定應用範圍。",弱人工智慧可以把它想成「專門做好某一類工作的 AI」。例如語音助理很會聽懂你的指令，推薦系統很會猜你可能喜歡什麼商品或影片，但它們不是什麼都懂、什麼都會。因此「專門用於語音助理或推薦系統的 AI」就是很典型的 Narrow AI，答案是 C。
B30,基礎模式,科目一（01）AI 基礎概念與發展,聯邦學習（Federated Learning）的優勢在於？,（A）能夠在不共享原始資料的情況下協作訓練AI模型；（B）讓AI模型的運算速度變得更快；（C）讓資料集中儲存；（D）只能用於影像辨識,A｜能夠在不共享原始資料的情況下協作訓練AI模型,聯邦學習（Federated Learning）是一種分散式機器學習方法，讓不同裝置或機構在原始資料不離開本地端的情況下進行模型訓練，再將模型更新資訊進行彙整，以共同改善整體模型。其主要優勢是可降低直接集中與共享敏感原始資料所帶來的隱私與資安風險。,聯邦學習可以想成「資料不用交出去，大家還是可以一起訓練 AI」。例如三家醫院都有自己的病歷資料，但因為隱私問題不能把病歷全部集中到同一台電腦。這時每家醫院可以各自在自己的資料上訓練，再只交換模型學到的更新結果，而不是直接交換病人的原始資料。所以答案是「能夠在不共享原始資料的情況下協作訓練 AI 模型」。
B31,基礎模式,科目一（01）AI 基礎概念與發展,下列何者是自然語言處理（NLP）的應用？,（A）醫療影像分析；（B）語音助理的語言理解；（C）工廠機械手臂控制；（D）股票價格預測,B｜語音助理的語言理解,"自然語言處理（Natural Language Processing, NLP）是讓電腦能夠理解、分析與產生人類語言的人工智慧技術，常見應用包括語言理解、文字分類、翻譯、聊天機器人與語音助理等。",NLP 可以想成「讓 AI 聽得懂或看得懂人類在說什麼」。例如你跟語音助理說「幫我設定明天早上七點的鬧鐘」，系統不只是把聲音轉成文字，還要理解你是在要求它設定鬧鐘，這就屬於語言理解。所以答案是「語音助理的語言理解」。
B32,基礎模式,科目一（01）AI 基礎概念與發展,電腦視覺（Computer Vision）的主要任務為何？,（A）處理文字資料；（B）讓電腦能「看懂」與理解影像；（C）預測未來天氣；（D）生成音樂,B｜讓電腦能「看懂」與理解影像,"電腦視覺（Computer Vision, CV）是讓電腦從圖片、影片等視覺資料中擷取資訊並進行辨識、分析與理解的人工智慧技術，常見任務包括影像分類、物件偵測、人臉辨識與影像分割等。",電腦視覺可以直接想成「讓 AI 長出眼睛」。例如給 AI 一張街道照片，它能判斷裡面有哪些人、汽車、紅綠燈；看監視器影片時，也能找出畫面中的特定物體。所以它的核心就是讓電腦能「看懂」影像，而不是只把圖片當成一堆像素，所以答案是「讓電腦能看懂與理解影像」。
B33,基礎模式,科目一（01）AI 基礎概念與發展,語音辨識與自然語言處理的關係為何？,（A）兩者完全相同；（B）語音辨識負責將語音轉為文字，而NLP負責理解文字；（C）語音辨識只處理文字；（D）NLP只處理聲音,B｜語音辨識負責將語音轉為文字，而NLP負責理解文字,"語音辨識（Speech Recognition）主要負責將人類說話的聲音訊號轉換成文字；自然語言處理（Natural Language Processing, NLP）則進一步分析與理解文字的語意、意圖與上下文，因此兩者常在語音助理等系統中前後串接使用。",可以把它想成兩個步驟：第一步是「先聽到你說什麼」，第二步是「再理解你到底想做什麼」。例如你說「幫我查明天台北天氣」，語音辨識先把聲音變成這句文字；接著 NLP 才去理解你的意思是要查「明天、台北、天氣」。所以答案是「語音辨識負責將語音轉為文字，而 NLP 負責理解文字」。
B34,基礎模式,科目一（01）AI 基礎概念與發展,下列哪一種資料偏差可能導致 AI 模型在女性使用者上的表現較差？,（A）資料集中女性的數據量遠少於男性；（B）資料集中的圖片解析度不足；（C）資料集只包含文字資訊；（D）資料集包含太多變數,A｜資料集中女性的數據量遠少於男性,資料偏差（Data Bias）是指訓練資料無法充分代表實際使用族群或情境，導致模型對特定群體產生較差的預測效果。若女性資料量明顯少於男性，模型可能因缺乏足夠的女性樣本，而在女性使用者上的準確度與穩定性較差。,"AI 是從資料裡學習的，所以「看得越少，就越不熟」。例如訓練資料裡有 9,000 筆男性資料，卻只有 1,000 筆女性資料，AI 就比較熟悉男性的特徵，遇到女性時可能比較容易判斷錯誤。這就像考試只練過很多 A 類題目，B 類題目幾乎沒練，真正遇到 B 類題目自然比較容易答錯。所以答案是「資料集中女性的數據量遠少於男性」。"
B35,基礎模式,科目一（01）AI 基礎概念與發展,AI專案的成功，最需要哪些條件的結合？,（A）優秀的演算法和充足的資料；（B）充足的資金和龐大的團隊；（C）商業價值、技術可行性與資料充足性；（D）最新的硬體設備,C｜商業價值、技術可行性與資料充足性,AI 專案要能成功落地，通常需要同時兼顧商業價值（Business Value）、技術可行性（Technical Feasibility）與資料充足性（Data Availability）。也就是專案必須確實解決有價值的問題、技術上能實現，而且具備足夠且適合的資料供模型開發與驗證。,AI 專案不是「模型做得出來」就算成功。假設公司想做 AI 預測顧客流失，首先這件事要真的能幫公司賺錢或降低損失，這是商業價值；其次技術要做得到；最後還要有足夠的顧客歷史資料可以訓練。三個條件少一個都可能失敗，所以答案是「商業價值、技術可行性與資料充足性」。
B36,基礎模式,科目一（01）AI 基礎概念與發展,為了讓 AI 能根據用戶的語音指令，合成出真實流暢的語音回覆，應採用哪種 AI 技術？,（A）自然語言處理；（B）影像辨識；（C）語音合成；（D）推薦系統,C｜語音合成,"語音合成（Speech Synthesis），亦常稱為文字轉語音（Text-to-Speech, TTS），是將文字內容轉換為自然且可理解之人類語音的技術。當 AI 已理解使用者指令並產生回覆文字後，可透過語音合成將文字轉成聲音輸出。",可以把語音助理想成「先聽懂，再開口回答」。AI 已經知道要回答什麼之後，還需要把文字變成真人聽得到的聲音，例如導航說出「前方 300 公尺右轉」，這個「把文字講出來」的步驟就是語音合成。所以答案是「語音合成」。
B37,基礎模式,科目一（01）AI 基礎概念與發展,AI 在智慧零售中，可應用於下列何者？,（A）製作影片；（B）透過分析顧客購物行為，進行個人化商品推薦；（C）預測天氣；（D）治療疾病,B｜透過分析顧客購物行為，進行個人化商品推薦,AI 在智慧零售（Smart Retail）中，可透過分析顧客的瀏覽紀錄、購買紀錄、偏好與消費行為，建立個人化推薦系統，向不同顧客推薦較可能感興趣的商品，以提升購物體驗與銷售成效。,就像你在購物網站買過運動鞋，之後平台可能再推薦襪子、運動服或其他跑鞋，這就是 AI 根據你的購物行為猜你可能還會喜歡什麼。重點是「分析顧客行為，再做個人化推薦」，所以答案是「透過分析顧客購物行為，進行個人化商品推薦」。
B38,基礎模式,科目一（01）AI 基礎概念與發展,語音助理的運作流程通常為何？,（A）語音合成 -> 自然語言處理；（B）語音辨識 -> 自然語言處理；（C）自然語言處理 -> 語音合成；（D）語音合成 -> 語音辨識,B｜語音辨識 -> 自然語言處理,"語音助理接收使用者語音後，通常先透過語音辨識（Speech Recognition）將聲音轉換為文字，再利用自然語言處理（Natural Language Processing, NLP）分析文字內容、語意與使用者意圖。因此基本流程為「語音辨識 → 自然語言處理」。",例如你對手機說「明天天氣如何？」第一步，AI 要先把你說的聲音辨識成「明天天氣如何」這串文字；第二步，才去理解你是在詢問明天的天氣。因此順序一定是先「聽出你說什麼」，再「理解你想做什麼」，所以答案是「語音辨識 → 自然語言處理」。
