id,mode,source,exam,subject,scope,type,question_no,question,option_a,option_b,option_c,option_d,answer_letter,answer_text,explanation,guide_subject,guide_chapter,guide_pdf_page,notes
B11,基礎學習模式,第三方教師／工程師整理練習題庫（非 iPAS 官方公告試題）,基礎學習模式｜1265 題,科目二｜生成式 AI 導入評估規劃,科目二｜生成式 AI 導入評估規劃,單選題,11,邊緣運算最適合應用於下列哪一種場景？,大型雲端分析,即時影像辨識,離線資料分析,歷史數據挖掘,B,即時影像辨識,這題的正確答案是「即時影像辨識」。邊緣運算屬於 AI 系統部署架構中的小概念。它把運算放在靠近資料產生的位置，例如裝置端、攝影機旁或現場設備，以降低延遲並提升即時反應。所以題目如果強調即時辨識、低延遲或現場端處理，就要連到邊緣運算。因此，「即時影像辨識」最能直接回應題目所問。,科目二｜生成式 AI 應用與規劃,3.3 生成式 AI 導入評估規劃,3-31 起,AI 教學詳解為讀書輔助；本題庫非 iPAS 官方公告試題。
B12,基礎學習模式,第三方教師／工程師整理練習題庫（非 iPAS 官方公告試題）,基礎學習模式｜1265 題,科目一｜機器學習概念,科目一｜機器學習概念,單選題,12,下列哪一種學習方式需要標記資料？,非監督式學習,監督式學習,強化學習,自監督學習,B,監督式學習,這題的正確答案是「監督式學習」。監督式學習屬於機器學習中的基本類型。它使用已知答案或標籤的資料訓練模型，讓模型學會從輸入資料預測正確分類或數值結果。所以題目如果強調已標記資料、已知答案或用標籤訓練，就要連到監督式學習。因此，「監督式學習」最能直接回應題目所問。,科目一｜人工智慧基礎概論,3.3 機器學習概念,3-33 起,AI 教學詳解為讀書輔助；本題庫非 iPAS 官方公告試題。
B13,基礎學習模式,第三方教師／工程師整理練習題庫（非 iPAS 官方公告試題）,基礎學習模式｜1265 題,科目一｜機器學習概念,科目一｜機器學習概念,單選題,13,在不平衡資料集中，最適合的評估指標為何？,精確率,召回率,F1 分數,準確率,C,F1 分數,這題的正確答案是「F1 分數」。分類評估指標屬於機器學習模型評估中的小概念。準確率看整體答對比例，精確率看預測為正的結果有多少是真的，召回率看真正的正例有多少被找出來，F1 則同時平衡精確率與召回率。所以題目如果強調不平衡資料，通常不能只看準確率，會更重視 F1 或召回率等指標。因此，「F1 分數」最能直接回應題目所問。,科目一｜人工智慧基礎概論,3.3 機器學習概念,3-33 起,AI 教學詳解為讀書輔助；本題庫非 iPAS 官方公告試題。
B14,基礎學習模式,第三方教師／工程師整理練習題庫（非 iPAS 官方公告試題）,基礎學習模式｜1265 題,科目一｜機器學習概念,科目一｜機器學習概念,單選題,14,CNN 最適合應用於哪種任務？,文字翻譯,語音合成,圖像辨識,時間序列預測,C,圖像辨識,這題的正確答案是「圖像辨識」。CNN 屬於機器學習與深度學習中的影像處理模型。它會透過卷積運算擷取圖片中的邊緣、形狀與紋理等局部特徵，因此常用於影像辨識。所以題目如果問最適合處理圖片或圖像辨識的模型，就要連到 CNN。因此，「圖像辨識」最能直接回應題目所問。,科目一｜人工智慧基礎概論,3.3 機器學習概念,3-33 起,AI 教學詳解為讀書輔助；本題庫非 iPAS 官方公告試題。
B15,基礎學習模式,第三方教師／工程師整理練習題庫（非 iPAS 官方公告試題）,基礎學習模式｜1265 題,科目一｜機器學習概念,科目一｜機器學習概念,單選題,15,Transformer 在 NLP 中的優勢為何？,處理長距離依賴能力強,運算速度慢,只能處理影像資料,需要大量標籤資料,A,處理長距離依賴能力強,這題的正確答案是「處理長距離依賴能力強」。Transformer 屬於自然語言處理與大型語言模型的重要架構。它利用注意力機制處理序列資料，能掌握詞語之間較長距離的關係，因此很適合語言理解與生成任務。所以題目如果問 NLP 中處理上下文、語境或長距離依賴的能力，就要連到 Transformer。因此，「處理長距離依賴能力強」最能直接回應題目所問。,科目一｜人工智慧基礎概論,3.3 機器學習概念,3-33 起,AI 教學詳解為讀書輔助；本題庫非 iPAS 官方公告試題。
B16,基礎學習模式,第三方教師／工程師整理練習題庫（非 iPAS 官方公告試題）,基礎學習模式｜1265 題,科目二｜生成式 AI 導入評估規劃,科目二｜生成式 AI 導入評估規劃,單選題,16,下列何者屬於 AI 倫理關注的議題？,運算速度,隱私保護,硬體成本,雲端費用,B,隱私保護,這題的正確答案是「隱私保護」。隱私與資料安全屬於 AI 治理與導入評估中的重要面向。AI 系統若處理個資、機密文件或敏感資料，就必須考慮資料是否可離開受控環境、誰能存取，以及如何降低外洩風險。所以題目如果強調個資、機密等級或受控環境，就要優先從資料安全來判斷。因此，「隱私保護」最能直接回應題目所問。,科目二｜生成式 AI 應用與規劃,3.3 生成式 AI 導入評估規劃,3-31 起,AI 教學詳解為讀書輔助；本題庫非 iPAS 官方公告試題。
B17,基礎學習模式,第三方教師／工程師整理練習題庫（非 iPAS 官方公告試題）,基礎學習模式｜1265 題,科目一｜資料處理與分析概念,科目一｜資料處理與分析概念,單選題,17,大數據的 3V 特徵不包括下列何者？,Volume,Velocity,Variety,Validation,D,Validation,這題是反向判斷題，正確答案是「Validation」。大數據 3V 屬於資料概念中的基本分類。常見 3V 是 Volume 資料量大、Velocity 產生速度快、Variety 型態多元；Validation 通常不是基本 3V 的項目。所以題目如果問 3V 不包括什麼，就要回到這三個核心字。因為題目要找的是「不屬於、較不符合或不正確」的選項，所以「Validation」才是本題要選的答案。,科目一｜人工智慧基礎概論,3.2 資料處理與分析概念,3-24 起,AI 教學詳解為讀書輔助；本題庫非 iPAS 官方公告試題。
B18,基礎學習模式,第三方教師／工程師整理練習題庫（非 iPAS 官方公告試題）,基礎學習模式｜1265 題,科目一｜機器學習概念,科目一｜機器學習概念,單選題,18,交叉驗證的主要作用為何？,縮短訓練時間,減少資料量,評估模型泛化能力,增加特徵數量,C,評估模型泛化能力,這題的正確答案是「評估模型泛化能力」。機器學習是人工智慧中的重要方法，重點是讓模型從資料中學習規律。它可以用來分類、預測、分群或找出資料模式；題目中的答案通常是某個訓練、評估或應用的小概念。所以作答時要先判斷題目在問資料、模型、訓練方式，還是評估指標。因此，「評估模型泛化能力」最能直接回應題目所問。,科目一｜人工智慧基礎概論,3.3 機器學習概念,3-33 起,AI 教學詳解為讀書輔助；本題庫非 iPAS 官方公告試題。
B19,基礎學習模式,第三方教師／工程師整理練習題庫（非 iPAS 官方公告試題）,基礎學習模式｜1265 題,科目二｜生成式 AI 導入評估規劃,科目二｜生成式 AI 導入評估規劃,單選題,19,AI 專案生命週期的第一步是什麼？,資料準備,需求分析,模型部署,效能監測,B,需求分析,這題的正確答案是「需求分析」。生成式 AI 是大範圍概念，重點是產生新的內容，而不只是分類或預測。它可以依照提示或條件產生文字、圖片、聲音、影片、程式碼或設計草稿；若題目答案是其中一種應用，就要看它是否真的在產生新內容。所以題目如果問生成式 AI 的應用，要先判斷該選項是不是以內容生成為核心。因此，「需求分析」最能直接回應題目所問。,科目二｜生成式 AI 應用與規劃,3.3 生成式 AI 導入評估規劃,3-31 起,AI 教學詳解為讀書輔助；本題庫非 iPAS 官方公告試題。
B20,基礎學習模式,第三方教師／工程師整理練習題庫（非 iPAS 官方公告試題）,基礎學習模式｜1265 題,科目一｜資料處理與分析概念,科目一｜資料處理與分析概念,單選題,20,下列何者屬於資料前處理步驟？,模型選擇,正規化,部署模型,監控效能,B,正規化,這題的正確答案是「正規化」。正規化與標準化屬於資料前處理中的小概念。它們的目的都是處理不同特徵的數值尺度差異，讓模型訓練時不會因某些欄位數值特別大而被不合理影響。所以題目如果強調年齡、收入、次數等尺度差很大，就要連到正規化或標準化。因此，「正規化」最能直接回應題目所問。,科目一｜人工智慧基礎概論,3.2 資料處理與分析概念,3-24 起,AI 教學詳解為讀書輔助；本題庫非 iPAS 官方公告試題。
B21,基礎學習模式,第三方教師／工程師整理練習題庫（非 iPAS 官方公告試題）,基礎學習模式｜1265 題,科目一｜機器學習概念,科目一｜機器學習概念,單選題,21,RNN 特別適合用於哪種資料？,靜態圖像,表格資料,序列資料,隨機數據,C,序列資料,這題的正確答案是「序列資料」。機器學習是人工智慧中的重要方法，重點是讓模型從資料中學習規律。它可以用來分類、預測、分群或找出資料模式；題目中的答案通常是某個訓練、評估或應用的小概念。所以作答時要先判斷題目在問資料、模型、訓練方式，還是評估指標。因此，「序列資料」最能直接回應題目所問。,科目一｜人工智慧基礎概論,3.3 機器學習概念,3-33 起,AI 教學詳解為讀書輔助；本題庫非 iPAS 官方公告試題。
B22,基礎學習模式,第三方教師／工程師整理練習題庫（非 iPAS 官方公告試題）,基礎學習模式｜1265 題,科目一｜機器學習概念,科目一｜機器學習概念,單選題,22,強化學習的學習機制為何？,標記資料,獎勵與懲罰,自動生成,手動調參,B,獎勵與懲罰,這題的正確答案是「獎勵與懲罰」。強化學習屬於機器學習中的基本類型。它讓模型透過與環境互動，根據行動後得到的獎勵或懲罰調整策略，目標是學會較好的決策方式。所以題目如果強調試錯、獎勵、懲罰或決策策略，就要連到強化學習。因此，「獎勵與懲罰」最能直接回應題目所問。,科目一｜人工智慧基礎概論,3.3 機器學習概念,3-33 起,AI 教學詳解為讀書輔助；本題庫非 iPAS 官方公告試題。
B23,基礎學習模式,第三方教師／工程師整理練習題庫（非 iPAS 官方公告試題）,基礎學習模式｜1265 題,科目二｜生成式 AI 應用領域與工具使用,科目二｜生成式 AI 應用領域與工具使用,單選題,23,GAN 的兩個主要組件為何？,生成器與鑑別器,編碼器與解碼器,輸入層與輸出層,特徵與標籤,A,生成器與鑑別器,這題的正確答案是「生成器與鑑別器」。生成式 AI 是大範圍概念，重點是產生新的內容，而不只是分類或預測。它可以依照提示或條件產生文字、圖片、聲音、影片、程式碼或設計草稿；若題目答案是其中一種應用，就要看它是否真的在產生新內容。所以題目如果問生成式 AI 的應用，要先判斷該選項是不是以內容生成為核心。因此，「生成器與鑑別器」最能直接回應題目所問。,科目二｜生成式 AI 應用與規劃,3.2 生成式 AI 應用領域與工具使用,3-17 起,AI 教學詳解為讀書輔助；本題庫非 iPAS 官方公告試題。
B24,基礎學習模式,第三方教師／工程師整理練習題庫（非 iPAS 官方公告試題）,基礎學習模式｜1265 題,科目二｜生成式 AI 導入評估規劃,科目二｜生成式 AI 導入評估規劃,單選題,24,資料匿名化的主要目的為何？,壓縮資料,保護隱私,提升速度,減少資料量,B,保護隱私,這題的正確答案是「保護隱私」。隱私與資料安全屬於 AI 治理與導入評估中的重要面向。AI 系統若處理個資、機密文件或敏感資料，就必須考慮資料是否可離開受控環境、誰能存取，以及如何降低外洩風險。所以題目如果強調個資、機密等級或受控環境，就要優先從資料安全來判斷。因此，「保護隱私」最能直接回應題目所問。,科目二｜生成式 AI 應用與規劃,3.3 生成式 AI 導入評估規劃,3-31 起,AI 教學詳解為讀書輔助；本題庫非 iPAS 官方公告試題。
B25,基礎學習模式,第三方教師／工程師整理練習題庫（非 iPAS 官方公告試題）,基礎學習模式｜1265 題,科目一｜機器學習概念,科目一｜機器學習概念,單選題,25,使用 API 的主要好處為何？,提高模型精度,降低資料需求,簡化系統整合,減少訓練時間,C,簡化系統整合,這題的正確答案是「簡化系統整合」。API 與 Token 成本屬於生成式 AI 系統導入與營運成本中的小概念。API 是系統呼叫模型服務的介面，Token 則常用來計算文字輸入與輸出的使用量與費用。所以題目如果強調模型呼叫、用量費、推理成本或系統串接，就要連到 API 與 Token。因此，「簡化系統整合」最能直接回應題目所問。,科目一｜人工智慧基礎概論,3.3 機器學習概念,3-33 起,AI 教學詳解為讀書輔助；本題庫非 iPAS 官方公告試題。
B26,基礎學習模式,第三方教師／工程師整理練習題庫（非 iPAS 官方公告試題）,基礎學習模式｜1265 題,科目一｜機器學習概念,科目一｜機器學習概念,單選題,26,AutoML 的主要功能為何？,自動生成訓練資料,自動化模型選擇與調參,自動修復錯誤,自動部署系統,B,自動化模型選擇與調參,這題的正確答案是「自動化模型選擇與調參」。機器學習是人工智慧中的重要方法，重點是讓模型從資料中學習規律。它可以用來分類、預測、分群或找出資料模式；題目中的答案通常是某個訓練、評估或應用的小概念。所以作答時要先判斷題目在問資料、模型、訓練方式，還是評估指標。因此，「自動化模型選擇與調參」最能直接回應題目所問。,科目一｜人工智慧基礎概論,3.3 機器學習概念,3-33 起,AI 教學詳解為讀書輔助；本題庫非 iPAS 官方公告試題。
B27,基礎學習模式,第三方教師／工程師整理練習題庫（非 iPAS 官方公告試題）,基礎學習模式｜1265 題,科目二｜生成式 AI 導入評估規劃,科目二｜生成式 AI 導入評估規劃,單選題,27,AI 專案失敗的常見原因不包含哪一項？,資料品質差,需求不明確,模型選擇恰當,缺乏維護,C,模型選擇恰當,這題的正確答案是「模型選擇恰當」。生成式 AI 是大範圍概念，重點是產生新的內容，而不只是分類或預測。它可以依照提示或條件產生文字、圖片、聲音、影片、程式碼或設計草稿；若題目答案是其中一種應用，就要看它是否真的在產生新內容。所以題目如果問生成式 AI 的應用，要先判斷該選項是不是以內容生成為核心。因此，「模型選擇恰當」最能直接回應題目所問。,科目二｜生成式 AI 應用與規劃,3.3 生成式 AI 導入評估規劃,3-31 起,AI 教學詳解為讀書輔助；本題庫非 iPAS 官方公告試題。
B28,基礎學習模式,第三方教師／工程師整理練習題庫（非 iPAS 官方公告試題）,基礎學習模式｜1265 題,科目二｜生成式 AI 應用領域與工具使用,科目二｜生成式 AI 應用領域與工具使用,單選題,28,多模態 AI 能處理哪些資料？,單一型態資料,同類型多份資料,不同型態資料,只處理語音,C,不同型態資料,這題的正確答案是「不同型態資料」。生成式 AI 是大範圍概念，重點是產生新的內容，而不只是分類或預測。它可以依照提示或條件產生文字、圖片、聲音、影片、程式碼或設計草稿；若題目答案是其中一種應用，就要看它是否真的在產生新內容。所以題目如果問生成式 AI 的應用，要先判斷該選項是不是以內容生成為核心。因此，「不同型態資料」最能直接回應題目所問。,科目二｜生成式 AI 應用與規劃,3.2 生成式 AI 應用領域與工具使用,3-17 起,AI 教學詳解為讀書輔助；本題庫非 iPAS 官方公告試題。
B29,基礎學習模式,第三方教師／工程師整理練習題庫（非 iPAS 官方公告試題）,基礎學習模式｜1265 題,科目一｜機器學習概念,科目一｜機器學習概念,單選題,29,遷移學習的好處為何？,減少訓練時間與資料需求,提高硬體成本,降低模型準確度,增加特徵數,A,減少訓練時間與資料需求,這題的正確答案是「減少訓練時間與資料需求」。機器學習是人工智慧中的重要方法，重點是讓模型從資料中學習規律。它可以用來分類、預測、分群或找出資料模式；題目中的答案通常是某個訓練、評估或應用的小概念。所以作答時要先判斷題目在問資料、模型、訓練方式，還是評估指標。因此，「減少訓練時間與資料需求」最能直接回應題目所問。,科目一｜人工智慧基礎概論,3.3 機器學習概念,3-33 起,AI 教學詳解為讀書輔助；本題庫非 iPAS 官方公告試題。
B30,基礎學習模式,第三方教師／工程師整理練習題庫（非 iPAS 官方公告試題）,基礎學習模式｜1265 題,科目一｜機器學習概念,科目一｜機器學習概念,單選題,30,卷積運算的主要作用為何？,提取空間特徵,生成文字,翻譯語言,處理時間序列,A,提取空間特徵,這題的正確答案是「提取空間特徵」。CNN 屬於機器學習與深度學習中的影像處理模型。它會透過卷積運算擷取圖片中的邊緣、形狀與紋理等局部特徵，因此常用於影像辨識。所以題目如果問最適合處理圖片或圖像辨識的模型，就要連到 CNN。因此，「提取空間特徵」最能直接回應題目所問。,科目一｜人工智慧基礎概論,3.3 機器學習概念,3-33 起,AI 教學詳解為讀書輔助；本題庫非 iPAS 官方公告試題。
B31,基礎學習模式,第三方教師／工程師整理練習題庫（非 iPAS 官方公告試題）,基礎學習模式｜1265 題,科目一｜機器學習概念,科目一｜機器學習概念,單選題,31,下列何者屬於非監督式學習的應用？,聚類分析,分類模型,監督式回歸,強化學習,A,聚類分析,這題的正確答案是「聚類分析」。監督式學習屬於機器學習中的基本類型。它使用已知答案或標籤的資料訓練模型，讓模型學會從輸入資料預測正確分類或數值結果。所以題目如果強調已標記資料、已知答案或用標籤訓練，就要連到監督式學習。因此，「聚類分析」最能直接回應題目所問。,科目一｜人工智慧基礎概論,3.3 機器學習概念,3-33 起,AI 教學詳解為讀書輔助；本題庫非 iPAS 官方公告試題。
B32,基礎學習模式,第三方教師／工程師整理練習題庫（非 iPAS 官方公告試題）,基礎學習模式｜1265 題,科目一｜機器學習概念,科目一｜機器學習概念,單選題,32,混淆矩陣中的 TN 代表何種意義？,真負類,假正類,假負類,真正類,A,真負類,這題的正確答案是「真負類」。分類評估指標屬於機器學習模型評估中的小概念。準確率看整體答對比例，精確率看預測為正的結果有多少是真的，召回率看真正的正例有多少被找出來，F1 則同時平衡精確率與召回率。所以題目如果強調不平衡資料，通常不能只看準確率，會更重視 F1 或召回率等指標。因此，「真負類」最能直接回應題目所問。,科目一｜人工智慧基礎概論,3.3 機器學習概念,3-33 起,AI 教學詳解為讀書輔助；本題庫非 iPAS 官方公告試題。
B33,基礎學習模式,第三方教師／工程師整理練習題庫（非 iPAS 官方公告試題）,基礎學習模式｜1265 題,科目一｜資料處理與分析概念,科目一｜資料處理與分析概念,單選題,33,特徵工程的目的為何？,生成新內容,改善模型性能,降低硬體成本,增加資料量,B,改善模型性能,這題的正確答案是「改善模型性能」。機器學習是人工智慧中的重要方法，重點是讓模型從資料中學習規律。它可以用來分類、預測、分群或找出資料模式；題目中的答案通常是某個訓練、評估或應用的小概念。所以作答時要先判斷題目在問資料、模型、訓練方式，還是評估指標。因此，「改善模型性能」最能直接回應題目所問。,科目一｜人工智慧基礎概論,3.2 資料處理與分析概念,3-24 起,AI 教學詳解為讀書輔助；本題庫非 iPAS 官方公告試題。
B34,基礎學習模式,第三方教師／工程師整理練習題庫（非 iPAS 官方公告試題）,基礎學習模式｜1265 題,科目二｜生成式 AI 導入評估規劃,科目二｜生成式 AI 導入評估規劃,單選題,34,演算法偏見的主要來源為何？,資料與設計偏差,硬體速度,雲端費用,運算記憶體,A,資料與設計偏差,這題的正確答案是「資料與設計偏差」。生成式 AI 是大範圍概念，重點是產生新的內容，而不只是分類或預測。它可以依照提示或條件產生文字、圖片、聲音、影片、程式碼或設計草稿；若題目答案是其中一種應用，就要看它是否真的在產生新內容。所以題目如果問生成式 AI 的應用，要先判斷該選項是不是以內容生成為核心。因此，「資料與設計偏差」最能直接回應題目所問。,科目二｜生成式 AI 應用與規劃,3.3 生成式 AI 導入評估規劃,3-31 起,AI 教學詳解為讀書輔助；本題庫非 iPAS 官方公告試題。
