題號,模式,範圍,題目,選擇題,答案,官方解釋,教師解釋
O11,官方考題模式,官方模擬考｜114年第四梯次｜第一科：人工智慧基礎概論,下列哪一類問題最適合使用非監督式學習（Unsupervised Learning）來處理？,（A）根據已標記的醫療影像訓練模型診斷疾病；（B）根據使用者行為將用戶分群，以優化行銷策略；（C）透過已知交通事故記錄預測未來事故發生機率；（D）根據歷史股價預測未來股市的走勢,B｜根據使用者行為將用戶分群，以優化行銷策略,非監督式學習（Unsupervised Learning）適合處理沒有明確標籤的資料，讓模型自行發現資料中的結構、群組或潛在模式。根據使用者行為進行分群（Clustering），再據此制定不同的行銷策略，就是典型的非監督式學習應用，因此答案是（B）。,可以把非監督式學習想成「沒有標準答案，讓模型自己找規律」。例如電商平台沒有先告訴模型哪些人是「高價值客群」或「價格敏感客群」，而是讓模型根據瀏覽、購買頻率、消費金額等資料自行把使用者分成幾群。選項（A）（C）（D）都有明確目標值或標籤可供預測，較接近監督式學習。**無標籤＋自動找群組＝Unsupervised Learning。**所以答案是（B）。
O12,官方考題模式,官方模擬考｜114年第四梯次｜第一科：人工智慧基礎概論,下列哪一種圖表最適合用來呈現並分析「兩個數值型變數」之間的關係，例如觀察身高與體重的相關性？,（A）散佈圖（Scatter Plot）；（B）折線圖（Line Chart）；（C）直方圖（Histogram）；（D）長條圖（Bar Chart）,A｜散佈圖（Scatter Plot）,散佈圖（Scatter Plot）最適合用來觀察兩個數值型變數之間的關係，透過每一筆資料在平面上的位置，可以分析兩變數是否呈現正相關、負相關、無明顯相關，以及是否存在離群值。因此答案是（A）。,可以把散佈圖想成「每個人都是一個點，橫軸放一個數值，縱軸放另一個數值」。例如橫軸是身高、縱軸是體重，如果大多數點由左下往右上排列，就表示身高越高時體重通常也越高，可能具有正相關。折線圖比較適合看時間趨勢，直方圖看單一變數的分布，長條圖則適合比較類別。**兩個數值變數之間的關係＝Scatter Plot。**所以答案是（A）。
O13,官方考題模式,官方模擬考｜114年第四梯次｜第一科：人工智慧基礎概論,下列哪一項應用情境與機器學習類型搭配正確？,（A）在醫療影像資料中，僅有少部分影像有專家標註診斷，其餘大多數影像未標註，研究者結合已標註與未標註資料來建立模型 — 監督式學習（Supervised Learning）；（B）在自駕車模擬環境中，模型透過試駕獲得「是否安全通過路口」的獎勵或懲罰訊號，逐步調整決策策略 — 非監督式學習（UnsupervisedLearning）；（C）在顧客購買紀錄中，利用已知的「顧客是否流失」標籤，訓練模型以 預 測 新 顧 客 未 來 是 否 會 流 失 — 強 化 式 學 習 （ ReinforcementLearning）；（D）在股票市場資料中，輸入歷史股價序列，嘗試將未來可能走勢劃分成若干「上升型、盤整型、下降型」群組，無需使用任何標籤 — 非監督式學習（Unsupervised Learning）,D｜在股票市場資料中，輸入歷史股價序列，嘗試將未來可能走勢劃分成若干「上升型、盤整型、下降型」群組，無需使用任何標籤 — 非監督式學習（Unsupervised Learning）,非監督式學習（Unsupervised Learning）適合在沒有標籤的情況下，讓模型自行找出資料中的結構、群組或模式。選項（D）中，研究者使用歷史股價序列，在沒有任何既定標籤的情況下，將資料分成「上升型、盤整型、下降型」等群組，符合分群（Clustering）概念，因此答案是（D）。,可以用「有沒有標籤、是不是靠獎勵學習」來判斷。選項（A）是少量有標籤＋大量無標籤，應該叫半監督式學習（Semi-Supervised Learning）；（B）靠獎勵與懲罰調整策略，是強化學習；（C）有「是否流失」標籤，是監督式學習。只有（D）是沒有標籤＋自己找群組＝Unsupervised Learning。所以答案是（D）。
O14,官方考題模式,官方模擬考｜114年第四梯次｜第一科：人工智慧基礎概論,某企業分析團隊正在處理一組近兩年的營運與銷售數據，共有四個部門提出了各自的分析需求，請判斷哪一個最接近「預測性分析（Predictive Analysis）」的特性？,（A）視覺化所有產品線過去月銷售走勢與標準差，觀察其分佈情況與波動程度；（B）藉由資料比對分析，找出去年母親節促銷失效的地區與品類組合；（C）建構模型推算下一季的主力商品銷量，以規劃備貨與倉儲資源配置；（D）透過熱圖分析廣告投放成本與訂單轉換率之間的潛在關聯性,C｜建構模型推算下一季的主力商品銷量，以規劃備貨與倉儲資源配置,預測性分析（Predictive Analysis）的核心，是利用歷史資料建立統計或機器學習模型，推估未來可能發生的結果。選項（C）利用過去資料推算下一季主力商品銷量，並進一步支援備貨與倉儲資源配置，最符合預測性分析的特性，因此答案是（C）。,可以把 Predictive Analysis 想成「用過去資料，預測接下來會發生什麼」。選項（A）是在描述過去資料的分布與波動，偏描述性分析；（B）是在找出過去促銷為什麼失效，偏診斷性分析；（D）是在探索變數之間的關聯，也還沒有真正預測未來。只有（C）明確在問「下一季會賣多少」。**預測未來結果＝Predictive Analysis。**所以答案是（C）。
O15,官方考題模式,官方模擬考｜114年第四梯次｜第一科：人工智慧基礎概論,某模型使用 K-近鄰演算法（KNN）進行分類，K 設為 3。 一筆新的測試資料輸入後，與其最接近的 3 筆資料的類別如下：鄰近樣本 1：類別A；鄰近樣本 2：類別 B；鄰近樣本 3：類別 A。請問模型會將這筆資料預測為哪一類別？,（A）類別 A；（B）類別 B；（C）類別 A 與 B 各一半，無法分類；（D）類別 A 或 B，視距離遠近加權而定,A｜類別 A,"K-近鄰演算法（K-Nearest Neighbors, KNN）在分類時，會找出距離新資料最近的 K 筆訓練樣本，並依多數決決定預測類別。當 K=3 時，三個鄰近樣本中有 2 筆屬於類別 A、1 筆屬於類別 B，因此多數類別為 A，答案是（A）。",可以把 KNN 想成「問離我最近的幾個鄰居，看大家多數屬於哪一類」。這題 K=3，所以只看最近的 3 個樣本：A、B、A，A 有 2 票、B 有 1 票，因此新資料就被判成 A。選項（D）只有在題目特別設定使用距離加權 KNN 時才可能成立，但這題沒有說要加權。**K=3＋多數決＝A 勝出。**所以答案是（A）。
O16,官方考題模式,官方模擬考｜114年第四梯次｜第一科：人工智慧基礎概論,"某團隊想採用循環神經網路（Recurrent Neural Network, RNN）建構長期氣候數據的預測模型，以下哪一項敘述最符合使用 RNN 可能會遇到的挑戰？",（A）RNN 無法處理可變長度的序列輸入，因此在實務上限制極大；（B）RNN 在長序列訓練中可能出現梯度消失，影響模型效果；（C）RNN 無法捕捉時間上的依賴關係，因此預測準確度低；（D）RNN 只能用於分類任務，不能應用於時間序列預測,B｜RNN 在長序列訓練中可能出現梯度消失，影響模型效果,RNN（Recurrent Neural Network）適合處理具有時間順序與序列關係的資料，但在長序列訓練過程中，梯度經過多個時間步反覆傳遞，可能逐漸變得非常小，形成梯度消失（Vanishing Gradient）問題，導致模型難以學習長期依賴關係。因此答案是（B）。,可以把 RNN 想成「它會記前面的資訊，但序列太長時，前面的記憶可能越傳越淡」。例如用很多年的氣候資料預測未來，如果關鍵資訊出現在很久以前，標準 RNN 在反向傳播時梯度可能一路縮小，最後幾乎學不到早期資訊，這就是 Vanishing Gradient。RNN 本來就能處理可變長度序列，也正是為了捕捉時間依賴，而且不只可以做分類，也能做時間序列預測。**長序列＋梯度逐漸變小＋長期依賴難學＝RNN 的典型挑戰。**所以答案是（B）。
O17,官方考題模式,官方模擬考｜114年第四梯次｜第一科：人工智慧基礎概論,一間金融科技公司設計一款智慧投資系統，該系統會根據市場變化自動決定「買進」、「持有」或「賣出」的行動，並根據每次交易後的盈虧結果，逐步優化下一次的投資策略。整個過程中，系統不依賴事先標記的資料，而是根據歷次行動獲得的獎勵進行調整。請問此系統最可能採用哪一種學習方法？,（A）強化式學習（Reinforcement Learning）；（B）監督式學習（Supervised Learning）；（C）非監督式學習（Unsupervised Learning）；（D）遷移學習（Transfer Learning）,A｜強化式學習（Reinforcement Learning）,強化學習（Reinforcement Learning）是讓代理人（Agent）在環境（Environment）中採取行動（Action），並根據得到的獎勵或懲罰（Reward）持續調整策略（Policy），目標是最大化長期累積報酬。題目中的投資系統會依據買進、持有、賣出後的盈虧結果反覆修正策略，且不依賴事先標記資料，因此答案是（A）。,可以把強化學習想成「做一個決定 → 看結果賺還是賠 → 再調整下一次怎麼做」。例如系統買進股票後獲利，就把這次行動視為較高獎勵；如果虧損，就降低類似情境下採取相同行動的傾向。它不是靠事先準備好的正確答案學習，而是靠與環境互動、累積 Reward 逐步改進。**行動＋環境回饋＋獎勵／懲罰＋策略優化＝Reinforcement Learning。**所以答案是（A）。
O18,官方考題模式,官方模擬考｜114年第四梯次｜第一科：人工智慧基礎概論,關於 Q-Learning 與 Deep Q-Learning，下列敘述何者最正確？,（A）Q-Learning 與 Deep Q-Learning 的差異在於是否使用標記資料作為學習基礎；（B）Q-Learning 可處理任意維度的狀態空間，因此比 Deep Q-Learning更靈活；（C）Deep Q-Learning 透過深度神經網路近似 Q 值，避免了 Q 表在高維空間中難以擴展的問題；（D）Deep Q-Learning 無法搭配經驗回放（Experience Replay），因為會導致樣本順序被打亂,C｜Deep Q-Learning 透過深度神經網路近似 Q 值，避免了 Q 表在高維空間中難以擴展的問題,Q-Learning 通常以 Q-table 儲存不同「狀態－行動」組合的 Q 值，因此當狀態空間很大、連續或高維時，Q 表會迅速膨脹而難以實務應用。Deep Q-Learning 則使用深度神經網路近似 Q 函數，可處理較複雜與高維的狀態表示，因此答案是（C）。,可以把傳統 Q-Learning 想成「用一張超大的表格記住每個狀態下每個行動有多好」。狀態很少時沒問題，但如果是影像、遊戲畫面或大量市場特徵，Q-table 可能大到根本放不下。Deep Q-Learning 就改用神經網路來估計 Q 值，不必把每一種狀態都逐格列出；而且 DQN 經典做法本來就常搭配 Experience Replay。**Q-table 難擴展 → 用深度神經網路近似 Q 值＝Deep Q-Learning。**所以答案是（C）。
O19,官方考題模式,官方模擬考｜114年第四梯次｜第一科：人工智慧基礎概論,在訓練機器學習模型時，若任務為預測房價，應選用下列哪一種損失函數（Loss Function）來衡量預測誤差？,（A）均方誤差（MSE）；（B）交叉熵損失（Cross-Entropy Loss）；（C）Hinge 損失（Hinge Loss）；（D）KL 散度（Kullback-Leibler Divergence）,A｜均方誤差（MSE）,"房價預測屬於連續數值的迴歸（Regression）問題，因此適合使用均方誤差（Mean Squared Error, MSE）衡量預測值與實際值之間的差異。MSE 會將每筆預測誤差平方後取平均，對較大的誤差給予較高懲罰，因此答案是（A）。","可以把這題想成「房價不是分成 A 類或 B 類，而是要預測一個實際金額」。例如實際房價是 1,000 萬元，模型預測 950 萬元，就可以用預測值與真實值的差距來計算誤差。MSE 就是把這些差距平方後再取平均。Cross-Entropy 比較常用於分類問題，Hinge Loss 常見於 SVM。**連續數值預測＝Regression；常見損失函數＝MSE。**所以答案是（A）。"
O20,官方考題模式,官方模擬考｜114年第四梯次｜第一科：人工智慧基礎概論,某醫院希望開發一個系統，根據患者的年齡、血壓與 BMI 等資訊，預測其罹患糖尿病的機率（0~1），並依據預測值是否超過 0.5 做出風險警示。下列哪一種模型最適合用於此分類任務？,（A）邏輯迴歸（Logistic Regression）；（B）支援向量機（Support Vector Machine）；（C）決策樹（Decision Tree）；（D）K 平均演算法（K-means）,A｜邏輯迴歸（Logistic Regression）,邏輯迴歸（Logistic Regression）適合處理二元分類問題，並可將輸入特徵轉換為 0 到 1 之間的預測機率，再依設定門檻（例如 0.5）判斷類別。題目要求預測患者罹患糖尿病的機率並依 0.5 做風險警示，因此答案是（A）。,可以把 Logistic Regression 想成「先算出罹病機率，再用門檻決定要不要警示」。例如模型輸出 0.78，就代表預測糖尿病風險較高；若門檻設為 0.5，就會發出警示。SVM 和決策樹也能做分類，但題目特別強調要輸出 0～1 的機率 並依 0.5 判斷，最典型就是 Logistic Regression。K-means 則是非監督式分群。**二元分類＋機率輸出＋門檻判定＝Logistic Regression。**所以答案是（A）。
O21,官方考題模式,官方模擬考｜114年第四梯次｜第一科：人工智慧基礎概論,某金融科技公司正開發一套違約風險預測系統，需大量處理不同客戶的財務特徵資料。考量到資料特徵數量眾多，且希望提升預測的穩定性與泛化能力，下列哪一種鑑別式 AI 模型最適合？,（A）邏輯迴歸（Logistic Regression）；（B）支援向量機（Support Vector Machine）；（C）決策樹（Decision Tree）；（D）隨機森林（Random Forest）,D｜隨機森林（Random Forest）,隨機森林（Random Forest）是由多棵決策樹組成的集成學習（Ensemble Learning）模型，透過對不同樣本與特徵子集建立多棵樹，再整合其預測結果，可降低單一決策樹容易過度擬合的問題，並提升預測穩定性與泛化能力。對於具有大量財務特徵的結構化資料，隨機森林通常具有不錯的實務表現，因此答案是（D）。,可以把 Random Forest 想成「不要只問一棵樹，而是找很多棵樹一起投票」。單一 Decision Tree 可能很容易記住訓練資料，但 Random Forest 會讓很多棵樹各自看不同樣本與不同特徵，再綜合結果，因此通常比較穩定、也比較不容易過度擬合。邏輯迴歸較簡單，SVM 在高維資料也可能表現不錯，但題目特別強調「穩定性與泛化能力」，最符合 Random Forest 的集成特性。**多棵樹＋隨機抽樣＋集體決策＝較穩定的泛化表現。**所以答案是（D）。
O22,官方考題模式,官方模擬考｜114年第四梯次｜第一科：人工智慧基礎概論,"關於變分自編碼器（Variational Autoencoder, VAE）的運作流程，下列何者敘述最為正確？",（A）解碼器的任務是將低維壓縮向量分類為不同類別；（B）編碼器將輸入資料轉換為可視化圖像以利模型學習；（C）編碼器將資料轉換為潛在空間表示，解碼器再重建資料；（D）編碼器利用最大邊際機率對資料進行異常點偵測,C｜編碼器將資料轉換為潛在空間表示，解碼器再重建資料,"變分自編碼器（Variational Autoencoder, VAE）由編碼器（Encoder）與解碼器（Decoder）組成。編碼器會將輸入資料映射到潛在空間（Latent Space）的機率分布表示，再從該分布取樣潛在變數，最後由解碼器根據潛在表示重建或生成資料，因此答案是（C）。",可以把 VAE 想成「先把原始資料壓縮成潛在空間中的機率表示，再從這個空間把資料還原或生成出來」。例如輸入一張人臉，Encoder 不只是壓成一個固定向量，而是學出潛在變數的分布參數，再從中取樣後交給 Decoder 重建人臉。選項（A）錯在 Decoder 主要不是做分類；（B）也不是把資料轉成可視化圖片；（D）更不是 VAE 的標準編碼流程。**Encoder → 潛在分布／表示 → Decoder 重建或生成＝VAE。**所以答案是（C）。
O23,官方考題模式,官方模擬考｜114年第四梯次｜第一科：人工智慧基礎概論,下列何者不是我國數位發展部 AI 產品與系統評測中心對生成式 AI 的評測項目?,（A）當責性；（B）可靠性；（C）隱私及資安；（D）互動性,D｜互動性,數位發展部 AI 產品與系統評測中心（AIEC）的可信任 AI 評測面向包含當責性（Accountable）、可靠性（Reliability）、隱私（Privacy）、資安（Secure）等項目；「互動性」並不屬於這組可信任 AI 評測項目，因此答案是（D）。數位發展部推動此評測制度的目的，在於建立公平、可靠且可信任的 AI 產品與系統評測機制。,可以把這題記成「AIEC 主要評估 AI 值不值得信任，不是評估它跟使用者互動得多熱鬧」。當責性是出了問題能不能追究責任，可靠性是系統能否穩定產出可信結果，隱私與資安則保護資料與系統安全，這些都屬於可信任 AI 的重要面向；「互動性」不是這組評測指標。**Accountable＋Reliability＋Privacy／Secure 有列入；Interactivity 沒有。**所以答案是（D）。
O24,官方考題模式,官方模擬考｜114年第四梯次｜第一科：人工智慧基礎概論,在保持 GPT-OSS 模型架構不變的前提下，如果將模型參數量從 20 億提升至 120 億，並假設有足夠的訓練資料支撐，下列敘述何者最正確？,（A）模型參數增加會線性提升效能，且即使訓練資料不變也不會遇到瓶頸；（B）參數越多模型推理越快，因為每層可以並行計算更多參數；（C）較大的參數量能提升模型的表達能力與預測效能，但需足夠訓練資料支持；（D）增加參數量不影響記憶體使用，只會影響計算速度,C｜較大的參數量能提升模型的表達能力與預測效能，但需足夠訓練資料支持,在其他條件相近且訓練資料充足的情況下，增加模型參數通常能提高模型容量與表達能力，使模型有機會學習更複雜的資料模式並提升任務表現，但效能提升並非必然呈線性成長，且更大的模型通常需要更多記憶體與運算資源。OpenAI 官方資料顯示，gpt-oss-120b 與 gpt-oss-20b 的總參數量分別約為 117B 與 21B，因此依本題核心概念答案是（C）。,"可以把模型參數想成「模型腦容量變大，有機會學到更多東西，但不是參數增加 6 倍、能力就一定增加 6 倍」。資料量與品質如果跟不上，再大的模型也可能無法充分發揮；而且參數越多，通常記憶體與推論運算需求也會增加。這題雖寫成 20 億與 120 億，但實際 gpt-oss-20b／120b 是約 209 億與 1,168 億總參數，名稱中的 20b／120b 是近似級別。 **參數增加＝容量潛力提高，但需要足夠資料與算力支撐，不代表線性提升。**所以答案是（C）。"
